order_id,customer_id,order_date,order_status,last_order_status_update,payment_type,payment_currency_code,payment_transaction_id,email,shipping_method,shipping_destination,shipping_street_address,shipping_city,shipping_state,shipping_zip,billing_street_address,billing_city,billing_state,billing_zip,store_id,plan_id,store_address,store_city,store_state,store_zip,last_modified,_change_request_type,order_total,payment_amount
14,28158994,2025-07-28 01:35:30,cancelled,2025-07-28 20:35:30,credit,USD,14,danna.laybourne@emailsim.io,standard,store,7 Tennyson Park,Houston,KY,77206,3007 Circle Drive,Lexington,KY,40510,5,,7 Tennyson Park,Houston,TX,77206,2025-07-28 20:35:30,u,8899.91,8899.91
15,28158994,2025-10-12 18:44:04,shipped,2025-10-14 11:44:04,debit,USD,15,stuart.szwarc@emailsim.io,expedited,store,29 Milwaukee Place,Albany,VA,12227,9400 High Street,Vienna,VA,22184,1,,29 Milwaukee Place,Albany,NY,12227,2025-10-14 11:44:04,u,2299.97,2299.97
16,45749269,2025-07-05 16:27:20,ready for pickup,2025-07-06 02:27:20,credit,USD,16,lionel.linnett@emailsim.io,standard,home,1143 Arthur Street,Riverside,CA,92519,1143 Arthur Street,Riverside,CA,92519,2,,475 Center Place,Atlanta,GA,30301,2025-07-06 02:27:20,u,4799.93,4799.93
17,45749269,2025-10-14 12:40:21,delivered,2025-10-15 18:40:21,debit,USD,17,francis.husbands@emailsim.io,expedited,home,9546 Atlantic Avenue,Schaumburg,IL,60193,9546 Atlantic Avenue,Schaumburg,IL,60193,5,,7 Tennyson Park,Houston,TX,77206,2025-10-15 18:40:21,u,8799.91,8799.91
18,45749269,2025-11-01 17:06:08,placed,2025-11-01 17:06:08,credit,USD,18,amil.kender@emailsim.io,overnight,store,6 Twin Pines Circle,Arlington,MN,22234,11061 Victory Boulevard,Saint Paul,MN,55123,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-11-01 17:06:08,u,10699.92,10699.92
19,23025956,2025-11-06 01:28:47,ready for pickup,2025-11-06 05:28:47,credit,USD,19,tessi.gerretsen@emailsim.io,overnight,home,11423 Union Street,Minneapolis,MN,55480,11423 Union Street,Minneapolis,MN,55480,1,,29 Milwaukee Place,Albany,NY,12227,2025-11-06 05:28:47,u,10199.92,10199.92
20,23025956,2025-09-08 07:14:25,delivered,2025-09-09 13:14:25,credit,USD,20,kippar.rexworthy@emailsim.io,standard,store,475 Center Place,Atlanta,IN,30301,6527 Hillside Avenue,Fort Wayne,IN,46896,2,,475 Center Place,Atlanta,GA,30301,2025-09-09 13:14:25,u,2699.97,2699.97
21,23025956,2025-07-06 06:17:35,picked up,2025-07-07 17:17:35,gift,USD,21,morry.chastey@emailsim.io,,,1191 Peachtree Street,Littleton,CO,80126,1191 Peachtree Street,Littleton,CO,80126,5,,7 Tennyson Park,Houston,TX,77206,2025-07-07 17:17:35,u,4599.94,4599.94
22,18927446,2025-09-30 21:02:47,cancelled,2025-10-02 09:02:47,credit,USD,22,margot.brabant@emailsim.io,expedited,home,8408 Meadow Lane,Toledo,OH,43666,8408 Meadow Lane,Toledo,OH,43666,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-10-02 09:02:47,u,7799.91,7799.91
23,18927446,2025-11-10 15:51:31,shipped,2025-11-11 12:51:31,credit,USD,23,allyson.triebner@emailsim.io,overnight,home,11806 Jackson Street,Amarillo,TX,79188,11806 Jackson Street,Amarillo,TX,79188,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-11-11 12:51:31,u,2199.97,2199.97
24,18927446,2025-07-14 16:19:48,placed,2025-07-14 16:19:48,debit,USD,24,si.kosiada@emailsim.io,standard,store,29 Milwaukee Place,Albany,IL,12227,1892 Atlantic Avenue,Chicago,IL,60614,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-14 16:19:48,u,7299.94,7299.94
25,92445190,2025-08-25 01:06:37,cancelled,2025-08-25 05:06:37,credit,USD,25,tessi.gerretsen@emailsim.io,standard,home,5339 Countryside Lane,Cincinnati,OH,45264,5339 Countryside Lane,Cincinnati,OH,45264,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-08-25 05:06:37,u,2999.96,2999.96
26,92445190,2025-10-10 04:29:47,shipped,2025-10-11 07:29:47,credit,USD,26,clim.borit@emailsim.io,expedited,store,475 Center Place,Atlanta,MA,30301,9184 Sierra Drive,Worcester,MA,01610,2,,475 Center Place,Atlanta,GA,30301,2025-10-11 07:29:47,u,3199.96,3199.96
27,13714356,2025-07-16 02:07:39,placed,2025-07-16 02:07:39,credit,USD,27,kaitlyn.bhatia@emailsim.io,overnight,home,2009 Hillside Avenue,Saint Louis,MO,63131,2009 Hillside Avenue,Saint Louis,MO,63131,5,,7 Tennyson Park,Houston,TX,77206,2025-07-16 02:07:39,u,4399.95,4399.95
28,13714356,2025-08-14 11:09:11,ready for pickup,2025-08-16 00:09:11,credit,USD,28,adan.fortin@emailsim.io,standard,store,6 Twin Pines Circle,Arlington,TX,22234,4457 California Street,Houston,TX,77075,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-08-16 00:09:11,u,4699.95,4699.95
29,13714356,2025-09-08 07:06:24,delivered,2025-09-08 13:06:24,debit,USD,29,morry.chastey@emailsim.io,expedited,home,6526 Lincoln Avenue,Arlington,VA,22234,6526 Lincoln Avenue,Arlington,VA,22234,1,,29 Milwaukee Place,Albany,NY,12227,2025-09-08 13:06:24,u,9199.91,9199.91
30,13714356,2025-12-09 10:36:11,picked up,2025-12-10 03:36:11,debit,USD,30,baird.cossor@emailsim.io,,,14205 Pine Street,Dayton,OH,45432,14205 Pine Street,Dayton,OH,45432,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-12-10 03:36:11,u,2299.97,2299.97
31,32364848,2025-12-18 11:44:50,cancelled,2025-12-19 16:44:50,credit,USD,31,courtnay.derr@emailsim.io,expedited,home,14959 El Camino Real,Atlanta,GA,30386,14959 El Camino Real,Atlanta,GA,30386,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-12-19 16:44:50,u,6599.94,6599.94
32,32364848,2025-07-04 22:30:14,shipped,2025-07-05 05:30:14,cash,USD,32,gordy.glowacki@emailsim.io,overnight,store,29 Milwaukee Place,Albany,MA,12227,1080 Main Avenue,Worcester,MA,01654,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-05 05:30:14,u,7299.93,7299.93
33,32364848,2025-07-31 01:20:52,ready for pickup,2025-07-31 15:20:52,credit,USD,33,ingmar.marie@emailsim.io,standard,home,3257 Walnut Street,Oakland,CA,94605,3257 Walnut Street,Oakland,CA,94605,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-07-31 15:20:52,u,4799.95,4799.95
34,32364848,2025-11-21 17:43:45,delivered,2025-11-22 14:43:45,credit,USD,34,baird.cossor@emailsim.io,overnight,store,475 Center Place,Atlanta,CA,30301,12730 Pacific Avenue,Fresno,CA,93709,2,,475 Center Place,Atlanta,GA,30301,2025-11-22 14:43:45,u,11199.86,11199.86
35,32364848,2025-07-15 17:01:58,placed,2025-07-15 17:01:58,credit,USD,35,ann.marciek@emailsim.io,standard,store,7 Tennyson Park,Houston,IL,77206,1978 Creek Road,Chicago,IL,60681,5,,7 Tennyson Park,Houston,TX,77206,2025-07-15 17:01:58,u,11299.88,11299.88
36,00569524,2025-09-25 15:56:21,picked up,2025-09-27 12:56:21,credit,USD,36,ruby.lille@emailsim.io,,,7974 Pennsylvania Avenue,Columbia,SC,29220,7974 Pennsylvania Avenue,Columbia,SC,29220,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-09-27 12:56:21,u,5099.93,5099.93
37,00569524,2025-11-19 06:45:48,delivered,2025-11-21 05:45:48,gift,USD,37,adan.fortin@emailsim.io,overnight,store,29 Milwaukee Place,Albany,MN,12227,12525 Oak Street,Minneapolis,MN,55402,1,,29 Milwaukee Place,Albany,NY,12227,2025-11-21 05:45:48,u,7999.92,7999.92
38,00569524,2025-12-14 23:36:49,placed,2025-12-14 23:36:49,debit,USD,38,tania.harsant@emailsim.io,standard,home,14666 Vine Street,San Francisco,CA,94126,14666 Vine Street,San Francisco,CA,94126,2,,475 Center Place,Atlanta,GA,30301,2025-12-14 23:36:49,u,9499.92,9499.92
39,00569524,2025-12-08 12:42:45,cancelled,2025-12-08 16:42:45,cash,USD,39,sarah.ocrigan@emailsim.io,expedited,home,14129 Clay Street,Washington,DC,20540,14129 Clay Street,Washington,DC,20540,5,,7 Tennyson Park,Houston,TX,77206,2025-12-08 16:42:45,u,3299.97,3299.97
40,56119723,2025-09-18 09:34:30,shipped,2025-09-18 20:34:30,gift,USD,40,marybelle.delafoy@emailsim.io,standard,store,475 Center Place,Atlanta,CA,30301,7368 Main Street,Sacramento,CA,95833,2,,475 Center Place,Atlanta,GA,30301,2025-09-18 20:34:30,u,5899.95,5899.95
41,56119723,2025-09-02 18:59:40,picked up,2025-09-04 10:59:40,credit,USD,41,bailey.habershaw@emailsim.io,,,6068 Commerce Street,Fort Worth,TX,76121,6068 Commerce Street,Fort Worth,TX,76121,5,,7 Tennyson Park,Houston,TX,77206,2025-09-04 10:59:40,u,6799.93,6799.93
42,56119723,2025-09-29 21:26:32,ready for pickup,2025-09-30 04:26:32,credit,USD,42,francis.husbands@emailsim.io,overnight,store,29 Milwaukee Place,Albany,FL,12227,8326 Broadway,Pinellas Park,FL,34665,1,,29 Milwaukee Place,Albany,NY,12227,2025-09-30 04:26:32,u,6299.92,6299.92
43,44873563,2025-11-05 20:26:38,picked up,2025-11-06 21:26:38,credit,USD,43,aldo.copson@emailsim.io,,,11406 Union Street,Springfield,IL,62764,11406 Union Street,Springfield,IL,62764,5,,7 Tennyson Park,Houston,TX,77206,2025-11-06 21:26:38,u,1599.98,1599.98
44,44873563,2025-09-10 11:40:10,ready for pickup,2025-09-12 03:40:10,debit,USD,44,marybelle.delafoy@emailsim.io,expedited,store,6 Twin Pines Circle,Arlington,NY,22234,6709 Franklin Street,Buffalo,NY,14220,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-09-12 03:40:10,u,5799.93,5799.93
45,44873563,2025-12-15 22:31:07,placed,2025-12-15 22:31:07,credit,USD,45,bobbie.kemmish@emailsim.io,overnight,home,14746 Jackson Street,Nashville,TN,37205,14746 Jackson Street,Nashville,TN,37205,1,,29 Milwaukee Place,Albany,NY,12227,2025-12-15 22:31:07,u,6999.93,6999.93
46,44873563,2025-08-06 08:58:00,cancelled,2025-08-08 06:58:00,debit,USD,46,si.kosiada@emailsim.io,overnight,store,35901 Anniversary Parkway,Tulsa,CA,74116,3783 Creek Road,Stockton,CA,95219,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-08-08 06:58:00,u,3599.95,3599.95
47,08610779,2025-10-18 09:49:42,delivered,2025-10-20 06:49:42,credit,USD,47,joey.leehane@emailsim.io,standard,home,9869 Jackson Street,Norcross,GA,30092,9869 Jackson Street,Norcross,GA,30092,2,,475 Center Place,Atlanta,GA,30301,2025-10-20 06:49:42,u,6399.96,6399.96
48,08610779,2025-12-09 14:29:36,shipped,2025-12-10 14:29:36,credit,USD,48,geoffrey.garaghan@emailsim.io,expedited,store,7 Tennyson Park,Houston,MN,77206,14218 Water Street,Young America,MN,55551,5,,7 Tennyson Park,Houston,TX,77206,2025-12-10 14:29:36,u,8299.92,8299.92
49,91566010,2025-07-30 05:14:30,ready for pickup,2025-07-31 01:14:30,credit,USD,49,basilius.herety@emailsim.io,overnight,home,3187 Poplar Street,Roanoke,VA,24004,3187 Poplar Street,Roanoke,VA,24004,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-31 01:14:30,u,5999.93,5999.93
50,91566010,2025-08-16 02:14:36,cancelled,2025-08-17 05:14:36,credit,USD,50,lou.erricker@emailsim.io,standard,store,475 Center Place,Atlanta,TX,30301,4593 Park Avenue,Houston,TX,77250,2,,475 Center Place,Atlanta,GA,30301,2025-08-17 05:14:36,u,7699.93,7699.93
51,91566010,2025-06-28 11:02:36,delivered,2025-06-29 23:02:36,credit,USD,51,had.ygo@emailsim.io,expedited,home,540 Atlantic Avenue,Washington,DC,20397,540 Atlantic Avenue,Washington,DC,20397,5,,7 Tennyson Park,Houston,TX,77206,2025-06-29 23:02:36,u,6599.94,6599.94
52,13409372,2025-08-09 22:40:13,picked up,2025-08-10 20:40:13,credit,USD,52,fowler.seaborne@emailsim.io,,,4081 Henry Street,Evansville,IN,47737,4081 Henry Street,Evansville,IN,47737,5,,7 Tennyson Park,Houston,TX,77206,2025-08-10 20:40:13,u,6899.95,6899.95
53,13409372,2025-09-26 00:41:12,shipped,2025-09-27 23:41:12,credit,USD,53,doralin.latour@emailsim.io,overnight,home,8004 Canyon Road,Stamford,CT,06912,8004 Canyon Road,Stamford,CT,06912,1,,29 Milwaukee Place,Albany,NY,12227,2025-09-27 23:41:12,u,6999.93,6999.93
54,13409372,2025-12-15 16:27:07,placed,2025-12-15 16:27:07,debit,USD,54,clim.borit@emailsim.io,standard,store,6 Twin Pines Circle,Arlington,NE,22234,14725 Charles Street,Omaha,NE,68134,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-12-15 16:27:07,u,699.99,699.99
55,13409372,2025-10-05 11:47:42,shipped,2025-10-05 23:47:42,credit,USD,55,loutitia.cornish@emailsim.io,expedited,home,8793 Lake Drive,Fort Worth,TX,76178,8793 Lake Drive,Fort Worth,TX,76178,2,,475 Center Place,Atlanta,GA,30301,2025-10-05 23:47:42,u,7499.94,7499.94
56,82123711,2025-10-16 07:58:37,ready for pickup,2025-10-17 14:58:37,credit,USD,56,morris.dietzler@emailsim.io,overnight,store,6 Twin Pines Circle,Arlington,FL,22234,9696 Hill Street,Lake Worth,FL,33462,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-10-17 14:58:37,u,8499.91,8499.91
57,82123711,2025-07-17 22:57:28,delivered,2025-07-19 19:57:28,credit,USD,57,briana.bohan@emailsim.io,standard,home,2165 Central Avenue,Cincinnati,OH,45203,2165 Central Avenue,Cincinnati,OH,45203,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-19 19:57:28,u,3599.96,3599.96
58,82123711,2025-11-25 06:11:41,placed,2025-11-25 06:11:41,credit,USD,58,tessi.gerretsen@emailsim.io,standard,store,35901 Anniversary Parkway,Tulsa,OH,74116,13023 Harrison Street,Cincinnati,OH,45213,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-11-25 06:11:41,u,6699.94,6699.94
59,82123711,2025-12-02 23:27:05,picked up,2025-12-03 09:27:05,debit,USD,59,kippar.rexworthy@emailsim.io,,,13666 Sunset Drive,Moreno Valley,CA,92555,13666 Sunset Drive,Moreno Valley,CA,92555,2,,475 Center Place,Atlanta,GA,30301,2025-12-03 09:27:05,u,6599.93,6599.93
60,05604353,2025-08-05 11:41:09,cancelled,2025-08-06 02:41:09,debit,USD,60,morris.dietzler@emailsim.io,overnight,store,7 Tennyson Park,Houston,VA,77206,3709 Maple Avenue,Roanoke,VA,24014,5,,7 Tennyson Park,Houston,TX,77206,2025-08-06 02:41:09,u,8099.93,8099.93
61,05604353,2025-11-10 05:38:05,ready for pickup,2025-11-10 07:38:05,credit,USD,61,glyn.skiplorne@emailsim.io,overnight,home,11771 Grant Street,Visalia,CA,93291,11771 Grant Street,Visalia,CA,93291,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-11-10 07:38:05,u,4299.95,4299.95
62,05604353,2025-09-18 23:26:43,delivered,2025-09-19 12:26:43,debit,USD,62,isobel.mckennan@emailsim.io,standard,store,29 Milwaukee Place,Albany,OR,12227,7416 Farm Road,Portland,OR,97232,1,,29 Milwaukee Place,Albany,NY,12227,2025-09-19 12:26:43,u,11599.88,11599.88
63,75880089,2025-09-19 00:59:35,placed,2025-09-19 00:59:35,credit,USD,63,genia.mattiuzzi@emailsim.io,expedited,home,7422 Hill Street,Albuquerque,NM,87180,7422 Hill Street,Albuquerque,NM,87180,5,,7 Tennyson Park,Houston,TX,77206,2025-09-19 00:59:35,u,4599.97,4599.97
64,75880089,2025-10-14 20:27:11,picked up,2025-10-15 22:27:11,credit,USD,64,jervis.bradane@emailsim.io,,,9573 Mill Street,Missoula,MT,59806,9573 Mill Street,Missoula,MT,59806,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-10-15 22:27:11,u,9699.93,9699.93
65,54590181,2025-12-11 16:20:50,cancelled,2025-12-13 15:20:50,credit,USD,65,yale.plumridge@emailsim.io,expedited,home,14391 Court Street,Lakeland,FL,33805,14391 Court Street,Lakeland,FL,33805,1,,29 Milwaukee Place,Albany,NY,12227,2025-12-13 15:20:50,u,9599.9,9599.9
66,54590181,2025-07-28 14:37:44,shipped,2025-07-29 18:37:44,credit,USD,66,wainwright.colecrough@emailsim.io,overnight,store,35901 Anniversary Parkway,Tulsa,CA,74116,3053 Alameda Avenue,Glendale,CA,91205,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-07-29 18:37:44,u,8099.94,8099.94
67,54590181,2025-09-15 15:04:32,ready for pickup,2025-09-16 22:04:32,credit,USD,67,marena.victor@emailsim.io,overnight,home,7137 Jackson Street,Oakland,CA,94660,7137 Jackson Street,Oakland,CA,94660,2,,475 Center Place,Atlanta,GA,30301,2025-09-16 22:04:32,u,6999.94,6999.94
68,11851333,2025-09-09 19:36:00,placed,2025-09-09 19:36:00,credit,USD,68,francis.husbands@emailsim.io,standard,store,7 Tennyson Park,Houston,TN,77206,6653 Kennedy Drive,Memphis,TN,38197,5,,7 Tennyson Park,Houston,TX,77206,2025-09-09 19:36:00,u,5199.94,5199.94
69,11851333,2025-09-29 22:06:38,cancelled,2025-09-30 05:06:38,credit,USD,69,kiele.pohling@emailsim.io,expedited,store,6 Twin Pines Circle,Arlington,TX,22234,8328 Buchanan Street,Austin,TX,78715,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-09-30 05:06:38,u,3599.98,3599.98
70,11851333,2025-07-22 18:31:39,delivered,2025-07-24 11:31:39,credit,USD,70,caroline.borris@emailsim.io,standard,home,2566 Hillside Avenue,Milwaukee,WI,53263,2566 Hillside Avenue,Milwaukee,WI,53263,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-24 11:31:39,u,1799.99,1799.99
71,11851333,2025-12-01 06:23:41,shipped,2025-12-03 01:23:41,credit,USD,71,nadeen.dracksford@emailsim.io,expedited,home,13523 Fairview Avenue,Dearborn,MI,48126,13523 Fairview Avenue,Dearborn,MI,48126,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-12-03 01:23:41,u,3599.96,3599.96
72,11851333,2025-07-07 13:06:58,picked up,2025-07-08 01:06:58,cash,USD,72,morris.dietzler@emailsim.io,,,1298 Polk Street,Akron,OH,44393,1298 Polk Street,Akron,OH,44393,2,,475 Center Place,Atlanta,GA,30301,2025-07-08 01:06:58,u,8699.9,8699.9
73,07068709,2025-07-24 06:49:35,cancelled,2025-07-25 19:49:35,credit,USD,73,bernelle.fumagall@emailsim.io,standard,home,2692 Mill Street,Decatur,IL,62525,2692 Mill Street,Decatur,IL,62525,1,,29 Milwaukee Place,Albany,NY,12227,2025-07-25 19:49:35,u,7599.94,7599.94
74,07068709,2025-08-19 11:48:09,shipped,2025-08-20 11:48:09,credit,USD,74,tania.harsant@emailsim.io,expedited,store,475 Center Place,Atlanta,MN,30301,4876 West Street,Minneapolis,MN,55487,2,,475 Center Place,Atlanta,GA,30301,2025-08-20 11:48:09,u,2999.96,2999.96
75,04561737,2025-10-30 12:10:16,placed,2025-10-30 12:10:16,credit,USD,75,kaitlyn.bhatia@emailsim.io,overnight,home,10877 Mill Road,Houston,TX,77201,10877 Mill Road,Houston,TX,77201,5,,7 Tennyson Park,Houston,TX,77206,2025-10-30 12:10:16,u,2799.97,2799.97
76,04561737,2025-07-19 18:19:15,ready for pickup,2025-07-20 18:19:15,debit,USD,76,allyson.triebner@emailsim.io,standard,store,35901 Anniversary Parkway,Tulsa,IN,74116,2316 Martin Luther King Jr. Boulevard,Gary,IN,46406,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-07-20 18:19:15,u,6399.94,6399.94
77,04561737,2025-09-09 01:34:49,delivered,2025-09-10 07:34:49,credit,USD,77,herminia.scryne@emailsim.io,expedited,store,29 Milwaukee Place,Albany,CA,12227,6591 South Street,Orange,CA,92668,1,,29 Milwaukee Place,Albany,NY,12227,2025-09-10 07:34:49,u,8199.94,8199.94
78,45770072,2025-08-17 09:26:10,picked up,2025-08-19 07:26:10,credit,USD,78,vite.brekonridge@emailsim.io,,,4701 State Street,Washington,DC,20260,4701 State Street,Washington,DC,20260,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-08-19 07:26:10,u,11299.92,11299.92
79,45770072,2025-10-07 14:16:47,shipped,2025-10-08 00:16:47,credit,USD,79,minor.goodred@emailsim.io,standard,home,8968 Clay Street,San Jose,CA,95155,8968 Clay Street,San Jose,CA,95155,1,,29 Milwaukee Place,Albany,NY,12227,2025-10-08 00:16:47,u,1999.97,1999.97
80,45770072,2025-10-20 14:28:50,ready for pickup,2025-10-21 13:28:50,credit,USD,80,clim.borit@emailsim.io,expedited,store,35901 Anniversary Parkway,Tulsa,MI,74116,10052 Roosevelt Avenue,Grand Rapids,MI,49505,4,,35901 Anniversary Parkway,Tulsa,OK,74116,2025-10-21 13:28:50,u,4199.95,4199.95
81,93166502,2025-08-27 21:57:29,delivered,2025-08-28 18:57:29,credit,USD,81,kaitlyn.bhatia@emailsim.io,overnight,store,475 Center Place,Atlanta,CA,30301,5578 Birch Street,Los Angeles,CA,90071,2,,475 Center Place,Atlanta,GA,30301,2025-08-28 18:57:29,u,2999.96,2999.96
82,93166502,2025-08-06 11:31:53,placed,2025-08-06 11:31:53,debit,USD,82,briana.bohan@emailsim.io,overnight,home,3792 Highland Avenue,Rochester,NY,14624,3792 Highland Avenue,Rochester,NY,14624,5,,7 Tennyson Park,Houston,TX,77206,2025-08-06 11:31:53,u,5399.94,5399.94
83,86996448,2025-08-18 13:44:20,picked up,2025-08-19 16:44:20,gift,USD,83,glenden.hearnah@emailsim.io,,,4800 Peachtree Street,Charleston,WV,25321,4800 Peachtree Street,Charleston,WV,25321,2,,475 Center Place,Atlanta,GA,30301,2025-08-19 16:44:20,u,8399.9,8399.9
84,86996448,2025-10-19 21:10:11,cancelled,2025-10-20 06:10:11,credit,USD,84,sarah.ocrigan@emailsim.io,expedited,home,9992 First Street,Houston,TX,77085,9992 First Street,Houston,TX,77085,5,,7 Tennyson Park,Houston,TX,77206,2025-10-20 06:10:11,u,8599.94,8599.94
85,26522145,2025-09-11 09:22:44,cancelled,2025-09-13 04:22:44,credit,USD,85,tabina.buick@emailsim.io,overnight,home,6784 Country Club Drive,Birmingham,AL,35231,6784 Country Club Drive,Birmingham,AL,35231,5,,7 Tennyson Park,Houston,TX,77206,2025-09-13 04:22:44,u,6499.93,6499.93
86,26522145,2025-11-18 21:11:20,delivered,2025-11-19 02:11:20,credit,USD,86,willis.kimbrey@emailsim.io,standard,store,29 Milwaukee Place,Albany,TX,12227,12492 Main Avenue,San Antonio,TX,78265,1,,29 Milwaukee Place,Albany,NY,12227,2025-11-19 02:11:20,u,3799.96,3799.96
87,26522145,2025-09-03 19:04:43,shipped,2025-09-04 04:04:43,credit,USD,87,denver.buxsy@emailsim.io,expedited,home,6151 Canyon Road,San Antonio,TX,78245,6151 Canyon Road,San Antonio,TX,78245,3,,6 Twin Pines Circle,Arlington,VA,22234,2025-09-04 04:04:43,u,5399.94,5399.94
