customer_line_id,customer_id,email,product_id,primary_line_indicator,active_indicator,mobile_phone,sms_optin,email_optin,last_modified,_change_request_type
817918-3,24158844,debera.risman@emailsim.io,3,0,1,+817918,0,0,2025-10-26 23:15:46,u
342618-12,26382359,frieda.crotty@emailsim.io,12,1,1,+342618,0,0,2025-07-18 18:36:21,u
488122-7,26382359,hilda.durbann@emailsim.io,7,0,1,+488122,0,0,2025-10-15 14:42:33,u
652799-7,26522145,tessi.gerretsen@emailsim.io,7,1,1,+652799,1,1,2025-02-13 12:03:04,u
140542-2,26522145,briana.bohan@emailsim.io,2,0,1,+140542,1,1,2025-03-10 00:31:37,u
373313-1,28158994,edouard.hargitt@emailsim.io,1,1,1,+373313,1,1,2025-04-02 06:29:39,u
435401-13,28158994,kirbee.size@emailsim.io,13,0,1,+435401,0,0,2025-09-20 07:37:34,u
358692-7,28158994,mick.haggis@emailsim.io,7,0,1,+358692,1,1,2025-01-25 09:53:43,u
617996-9,28561107,joseito.longridge@emailsim.io,9,1,1,+617996,0,0,2025-08-25 09:01:16,u
655062-1,28561107,cornela.riach@emailsim.io,1,0,1,+655062,0,0,2025-10-31 21:45:57,u
754841-3,28561107,bernice.getty@emailsim.io,3,0,1,+754841,0,0,2025-11-11 18:25:21,u
518811-12,28561107,somerset.goldster@emailsim.io,12,0,1,+518811,1,1,2025-01-16 02:17:10,u
375026-8,28561107,junia.willett@emailsim.io,8,0,1,+375026,0,0,2025-06-13 10:18:22,u
155743-4,30710284,clara.poll@emailsim.io,4,1,1,+155743,0,0,2025-11-12 14:14:04,u
373496-13,30710284,rene.stpaul@emailsim.io,13,0,1,+373496,1,1,2024-12-11 19:26:56,u
913174-2,30710284,tabitha.darthe@emailsim.io,2,0,1,+913174,1,1,2025-04-08 06:20:24,u
518545-9,30710284,adela.bott@emailsim.io,9,0,1,+518545,0,0,2025-05-29 10:04:23,u
480677-5,30710284,melisenda.lorenzin@emailsim.io,5,0,1,+480677,0,0,2025-06-27 05:02:29,u
170415-13,32364848,myrtice.kenlin@emailsim.io,13,1,1,+170415,1,1,2024-12-09 12:18:02,u
915683-14,32364848,bobbie.kemmish@emailsim.io,14,0,1,+915683,1,1,2025-01-31 11:24:03,u
918309-1,32364848,corabella.bernardy@emailsim.io,1,0,0,+918309,0,0,2025-09-18 23:57:07,u
908107-12,32364848,margot.brabant@emailsim.io,12,0,1,+908107,1,1,2024-12-31 08:32:23,u
915232-11,32364848,ashil.dibdall@emailsim.io,11,0,1,+915232,0,0,2025-05-26 06:19:19,u
918686-1,34080149,berny.chiverstone@emailsim.io,1,1,1,+918686,1,1,2025-04-01 21:46:29,u
528533-12,34080149,vachel.medlicott@emailsim.io,12,0,1,+528533,1,1,2025-04-26 09:13:30,u
345933-7,34080149,baudoin.dahmke@emailsim.io,7,0,1,+345933,1,1,2024-11-24 04:46:40,u
440847-14,34298403,abran.hindmoor@emailsim.io,14,1,1,+440847,1,1,2025-02-05 22:16:55,u
482484-2,35360377,ann.marciek@emailsim.io,2,1,1,+482484,1,1,2025-03-02 15:30:48,u
140255-5,35360377,haydon.brandassi@emailsim.io,5,0,1,+140255,1,1,2025-01-15 07:49:55,u
544590-7,35360377,floyd.fullstone@emailsim.io,7,0,0,+544590,0,0,2025-05-29 02:48:35,u
370981-5,36124990,bailey.habershaw@emailsim.io,5,1,1,+370981,0,0,2025-10-02 06:01:56,u
971346-12,36124990,jervis.bradane@emailsim.io,12,0,0,+971346,0,0,2025-06-19 07:55:09,u
420966-13,36124990,gaby.glendenning@emailsim.io,13,0,1,+420966,1,1,2025-03-03 17:27:02,u
786319-9,36124990,sigrid.kittless@emailsim.io,9,0,1,+786319,0,0,2025-07-30 19:15:04,u
170415-4,36124990,myrtice.kenlin@emailsim.io,4,0,0,+170415,0,0,2025-11-12 13:21:04,u
860759-4,37064463,baird.cossor@emailsim.io,4,1,1,+860759,1,1,2025-01-18 07:17:09,u
916334-13,37064463,elisha.clee@emailsim.io,13,0,1,+916334,1,1,2024-12-09 07:59:57,u
380682-6,37064463,cody.tolliday@emailsim.io,6,0,0,+380682,1,1,2024-12-24 09:10:41,u
489460-3,37938260,kippar.rexworthy@emailsim.io,3,1,1,+489460,1,1,2025-03-12 07:42:20,u
548485-13,37938260,lionel.linnett@emailsim.io,13,0,1,+548485,1,1,2025-05-04 18:12:26,u
213699-1,41900794,bernelle.fumagall@emailsim.io,1,1,1,+213699,1,1,2025-04-11 22:01:17,u
471060-10,41900794,lorry.severn@emailsim.io,10,0,0,+471060,0,0,2025-09-18 20:12:59,u
337377-7,41900794,clary.gillhespy@emailsim.io,7,0,0,+337377,1,1,2024-12-12 08:18:34,u
443687-8,41900794,si.kosiada@emailsim.io,8,0,1,+443687,1,1,2024-12-01 18:15:32,u
515816-3,41900794,roana.matokhnin@emailsim.io,3,0,0,+515816,0,0,2025-05-30 02:06:25,u
495389-14,42452457,clim.borit@emailsim.io,14,1,1,+495389,0,0,2025-07-24 13:20:38,u
335553-1,42452457,mirilla.janikowski@emailsim.io,1,0,1,+335553,0,0,2025-06-07 07:06:30,u
703777-10,42452457,sapphire.bracco@emailsim.io,10,0,1,+703777,1,1,2025-02-11 21:07:48,u
915232-11,43587287,ashil.dibdall@emailsim.io,11,1,1,+915232,1,1,2025-05-09 16:41:53,u
522010-1,43587287,jedidiah.childs@emailsim.io,1,0,0,+522010,0,0,2025-09-23 21:56:57,u
370694-2,43587287,genvieve.yitzhok@emailsim.io,2,0,1,+370694,0,0,2025-08-17 05:11:49,u
443687-9,43648096,si.kosiada@emailsim.io,9,1,1,+443687,0,0,2025-10-04 19:41:36,u
358692-6,44873563,mick.haggis@emailsim.io,6,1,1,+358692,1,1,2025-04-25 11:39:50,u
828646-14,44873563,wainwright.colecrough@emailsim.io,14,0,0,+828646,0,0,2025-11-07 01:39:51,u
513383-13,45379197,tiffani.androlli@emailsim.io,13,1,1,+513383,0,0,2025-07-23 19:55:42,u
421796-9,45379197,lilas.threadkell@emailsim.io,9,0,0,+421796,1,1,2024-12-01 18:31:11,u
652841-4,45379197,libbie.jensen@emailsim.io,4,0,0,+652841,1,1,2025-05-04 15:52:14,u
904542-2,45379197,merlina.dibben@emailsim.io,2,0,1,+904542,1,1,2025-03-20 06:56:14,u
542526-12,45749269,vite.brekonridge@emailsim.io,12,1,1,+542526,0,0,2025-06-29 23:19:26,u
971304-8,45749269,courtnay.derr@emailsim.io,8,0,0,+971304,1,1,2024-12-11 00:42:10,u
182819-13,45749269,tory.leonida@emailsim.io,13,0,0,+182819,0,0,2025-07-03 12:21:52,u
513678-5,45770072,bald.chuck@emailsim.io,5,1,1,+513678,0,0,2025-08-04 22:00:52,u
785636-13,45770072,willis.kimbrey@emailsim.io,13,0,1,+785636,1,1,2025-01-08 13:49:05,u
945131-12,47889676,becca.pietruszewicz@emailsim.io,12,1,1,+945131,0,0,2025-10-28 22:10:51,u
657717-9,47889676,terry.rikel@emailsim.io,9,0,1,+657717,1,1,2025-03-24 00:24:29,u
904807-8,47889676,delmer.rosenbusch@emailsim.io,8,0,1,+904807,1,1,2025-01-04 13:21:52,u
825775-4,47889676,hazel.onians@emailsim.io,4,0,1,+825775,0,0,2025-06-23 22:20:54,u
372654-13,48191080,max.filippone@emailsim.io,13,1,1,+372654,1,1,2024-11-14 11:33:15,u
162429-2,48191080,georgianne.lyffe@emailsim.io,2,0,1,+162429,0,0,2025-05-27 03:59:37,u
351225-7,48217959,lucila.casino@emailsim.io,7,1,1,+351225,1,1,2025-01-09 18:45:40,u
370715-3,48217959,deedee.rosser@emailsim.io,3,0,1,+370715,0,0,2025-09-26 19:11:09,u
811392-14,48217959,vanda.manske@emailsim.io,14,0,0,+811392,1,1,2025-01-02 11:27:27,u
484648-4,48217959,jorrie.bellam@emailsim.io,4,0,1,+484648,1,1,2025-01-18 18:31:21,u
778867-13,48217959,raynor.tippler@emailsim.io,13,0,1,+778867,1,1,2024-12-25 03:46:20,u
541373-11,49033802,herminia.scryne@emailsim.io,11,1,1,+541373,0,0,2025-10-13 07:02:18,u
545226-3,49033802,herbert.haffenden@emailsim.io,3,0,1,+545226,1,1,2025-01-15 05:45:06,u
359706-7,49033802,jocko.byatt@emailsim.io,7,0,0,+359706,1,1,2025-02-02 23:35:13,u
471060-3,50581674,lorry.severn@emailsim.io,3,1,1,+471060,1,1,2025-02-26 14:26:45,u
918095-13,50581674,forrest.giamitti@emailsim.io,13,0,0,+918095,1,1,2025-03-28 04:29:16,u
172467-2,50581674,phedra.ranyelld@emailsim.io,2,0,1,+172467,0,0,2025-05-27 09:08:43,u
396344-14,50581674,aylmer.gertray@emailsim.io,14,0,0,+396344,0,0,2025-08-22 12:03:38,u
176289-8,50581674,veronique.strethill@emailsim.io,8,0,1,+176289,0,0,2025-08-19 07:35:21,u
824477-10,51087608,carla.coker@emailsim.io,10,1,1,+824477,0,0,2025-11-07 16:31:02,u
351851-11,51087608,jenelle.craighead@emailsim.io,11,0,1,+351851,0,0,2025-09-26 11:15:11,u
720602-1,51087608,hamil.mallabund@emailsim.io,1,0,0,+720602,1,1,2025-01-26 00:21:53,u
274255-11,52965769,trescha.eversley@emailsim.io,11,1,1,+274255,0,0,2025-07-31 00:14:08,u
359453-13,53237193,morry.chastey@emailsim.io,13,1,1,+359453,1,1,2024-11-18 17:37:26,u
360091-10,53237193,hube.veldens@emailsim.io,10,0,0,+360091,1,1,2024-12-15 07:10:44,u
656462-9,53237193,arie.lenz@emailsim.io,9,0,1,+656462,0,0,2025-08-05 04:11:51,u
140542-5,53272032,briana.bohan@emailsim.io,5,1,1,+140542,0,0,2025-08-11 23:57:42,u
520743-10,53272032,teri.randell@emailsim.io,10,0,1,+520743,1,1,2025-01-10 01:06:44,u
780202-1,53392741,genia.mattiuzzi@emailsim.io,1,1,1,+780202,0,0,2025-08-13 21:07:27,u
914470-3,53392741,maddie.domeney@emailsim.io,3,0,0,+914470,1,1,2025-01-11 03:16:10,u
347577-7,53392741,wanids.dugo@emailsim.io,7,0,0,+347577,0,0,2025-06-11 16:02:33,u
380208-5,54590181,adan.fortin@emailsim.io,5,1,1,+380208,1,1,2025-01-26 12:19:54,u
380294-5,54737661,jessie.mcleod@emailsim.io,5,1,1,+380294,0,0,2025-11-05 05:15:13,u
380683-12,54737661,cosimo.beeby@emailsim.io,12,0,1,+380683,0,0,2025-05-24 02:35:51,u
480394-13,54737661,lindsey.jacklin@emailsim.io,13,0,1,+480394,0,0,2025-11-12 01:50:28,u
827756-9,54737661,odelia.coulton@emailsim.io,9,0,0,+827756,1,1,2025-02-06 10:23:46,u
902522-4,54737661,geno.gosselin@emailsim.io,4,0,1,+902522,1,1,2024-12-11 05:01:26,u
435401-6,56119723,kirbee.size@emailsim.io,6,1,1,+435401,0,0,2025-10-23 01:06:45,u
902708-10,56119723,ruprecht.northam@emailsim.io,10,0,1,+902708,1,1,2025-05-11 12:45:02,u
860759-11,56119723,baird.cossor@emailsim.io,11,0,1,+860759,1,1,2025-04-09 21:11:04,u
918686-1,56119723,berny.chiverstone@emailsim.io,1,0,1,+918686,0,0,2025-06-03 20:08:53,u
905010-3,56119723,agna.woodrup@emailsim.io,3,0,0,+905010,0,0,2025-08-17 18:47:24,u
619654-9,56520410,morris.dietzler@emailsim.io,9,1,1,+619654,0,0,2025-05-19 17:46:49,u
918914-2,56520410,ban.denacamp@emailsim.io,2,0,0,+918914,1,1,2025-03-15 07:39:58,u
524326-5,56520410,christina.stanbrooke@emailsim.io,5,0,1,+524326,1,1,2025-01-22 13:14:59,u
394975-10,56520410,yorker.egerton@emailsim.io,10,0,1,+394975,1,1,2025-01-20 12:47:14,u
345298-6,57308791,amil.kender@emailsim.io,6,1,1,+345298,1,1,2025-03-31 03:28:16,u
655632-2,57308791,des.ragbourn@emailsim.io,2,0,0,+655632,1,1,2025-04-02 09:01:01,u
370181-10,57308791,isabelita.graver@emailsim.io,10,0,0,+370181,1,1,2025-03-13 00:38:51,u
529467-12,57308791,allayne.ridolfi@emailsim.io,12,0,0,+529467,1,1,2024-12-12 07:12:45,u
337377-14,62001453,clary.gillhespy@emailsim.io,14,1,1,+337377,1,1,2025-03-03 13:09:15,u
915604-1,63483489,nadeen.dracksford@emailsim.io,1,1,1,+915604,1,1,2024-12-13 07:02:55,u
380348-3,63483489,leland.hasling@emailsim.io,3,0,1,+380348,0,0,2025-06-10 22:02:29,u
485753-5,64795609,stephenie.attenbrough@emailsim.io,5,1,1,+485753,0,0,2025-08-10 12:19:44,u
487520-3,64795609,igor.esberger@emailsim.io,3,0,0,+487520,0,0,2025-10-30 01:56:01,u
485570-8,64982803,carey.weekly@emailsim.io,8,1,1,+485570,1,1,2025-04-21 20:43:37,u
916869-4,64982803,jacqui.grigoriscu@emailsim.io,4,0,1,+916869,0,0,2025-09-26 00:31:33,u
420197-2,64982803,alexine.winney@emailsim.io,2,0,1,+420197,1,1,2025-02-08 02:12:27,u
337901-1,65620893,marybelle.delafoy@emailsim.io,1,1,1,+337901,0,0,2025-07-24 18:10:29,u
380943-10,65620893,muffin.prujean@emailsim.io,10,0,1,+380943,0,0,2025-10-30 02:23:05,u
659039-8,65620893,jane.lhommeau@emailsim.io,8,0,1,+659039,1,1,2025-05-10 16:45:39,u
351744-4,65620893,merola.simoncelli@emailsim.io,4,0,0,+351744,1,1,2025-03-16 15:15:20,u
548485-5,67740571,lionel.linnett@emailsim.io,5,1,1,+548485,0,0,2025-10-31 13:11:20,u
373313-13,67740571,edouard.hargitt@emailsim.io,13,0,1,+373313,0,0,2025-05-28 19:31:22,u
542526-10,67740571,vite.brekonridge@emailsim.io,10,0,1,+542526,0,0,2025-05-20 14:30:37,u
370330-5,68078421,maren.sirr@emailsim.io,5,1,1,+370330,1,1,2025-03-31 10:52:18,u
810256-10,68078421,glen.bess@emailsim.io,10,0,1,+810256,0,0,2025-08-31 04:58:10,u
375200-12,68078421,mavra.bendig@emailsim.io,12,0,1,+375200,1,1,2025-04-08 07:40:15,u
919205-9,68078421,lindie.rubega@emailsim.io,9,0,0,+919205,0,0,2025-06-18 19:52:36,u
337258-9,70572058,denver.buxsy@emailsim.io,9,1,1,+337258,1,1,2025-01-11 20:08:58,u
492939-5,70572058,horace.deinhardt@emailsim.io,5,0,1,+492939,0,0,2025-08-20 10:57:22,u
826413-9,70840926,lou.erricker@emailsim.io,9,1,1,+826413,1,1,2024-12-14 21:07:07,u
380312-1,70840926,arnaldo.drogan@emailsim.io,1,0,1,+380312,0,0,2025-09-17 12:08:07,u
908107-4,73864969,margot.brabant@emailsim.io,4,1,1,+908107,1,1,2025-04-21 06:57:38,u
559604-13,74399540,had.ygo@emailsim.io,13,1,1,+559604,0,0,2025-07-24 04:15:01,u
655342-11,74399540,elise.playdon@emailsim.io,11,0,1,+655342,0,0,2025-05-22 14:47:59,u
821573-3,74399540,ansell.wareham@emailsim.io,3,0,0,+821573,1,1,2024-12-08 06:53:19,u
945913-7,74399540,maribeth.faltin@emailsim.io,7,0,1,+945913,1,1,2025-01-26 16:05:08,u
313347-14,74399540,onida.gosnoll@emailsim.io,14,0,1,+313347,0,0,2025-10-07 14:35:08,u
371898-5,74737868,glenden.hearnah@emailsim.io,5,1,1,+371898,1,1,2025-05-03 05:40:37,u
420786-1,74737868,egor.keniwell@emailsim.io,1,0,1,+420786,1,1,2025-02-06 04:49:15,u
445347-7,75880089,georges.sabates@emailsim.io,7,1,1,+445347,1,1,2025-05-12 20:00:53,u
945131-8,75880089,becca.pietruszewicz@emailsim.io,8,0,1,+945131,0,0,2025-07-04 04:08:31,u
559604-6,75880089,had.ygo@emailsim.io,6,0,0,+559604,0,0,2025-10-29 10:28:59,u
380448-7,76692648,alysa.sloper@emailsim.io,7,1,1,+380448,0,0,2025-11-11 20:33:42,u
910458-6,76692648,bobbette.olivey@emailsim.io,6,0,1,+910458,0,0,2025-07-22 05:56:27,u
345019-14,76692648,tedda.champkin@emailsim.io,14,0,1,+345019,1,1,2025-04-09 02:40:35,u
495584-8,77996530,francis.husbands@emailsim.io,8,1,1,+495584,1,1,2025-02-07 05:22:59,u
390231-3,77996530,dedie.domsalla@emailsim.io,3,0,1,+390231,0,0,2025-10-01 11:54:25,u
337712-11,77996530,bard.dyos@emailsim.io,11,0,1,+337712,0,0,2025-08-21 21:00:49,u
448147-5,77996530,alikee.parnham@emailsim.io,5,0,0,+448147,0,0,2025-11-06 18:07:50,u
902708-7,78992285,ruprecht.northam@emailsim.io,7,1,1,+902708,0,0,2025-07-04 02:45:28,u
351563-2,78992285,caz.corris@emailsim.io,2,0,1,+351563,0,0,2025-06-23 23:27:28,u
449188-14,78992285,maurine.crosland@emailsim.io,14,0,0,+449188,1,1,2024-11-15 11:46:42,u
903739-12,80605941,marena.victor@emailsim.io,12,1,1,+903739,0,0,2025-10-14 02:14:57,u
814864-9,80605941,anastassia.stanyland@emailsim.io,9,0,1,+814864,1,1,2025-05-10 07:13:45,u
905010-10,81566803,agna.woodrup@emailsim.io,10,1,1,+905010,0,0,2025-11-01 00:06:19,u
